wf_m_per_s,flow,pco_percent
-1,Q=1.58,48.525215
-0.9,Q=1.58,47.182718
-0.8,Q=1.58,45.912504
-0.7,Q=1.58,44.708888
-0.6,Q=1.58,43.566767
-0.5,Q=1.58,42.481545
-0.4,Q=1.58,41.449073
-0.3,Q=1.58,40.465597
-0.2,Q=1.58,39.527710
-0.1,Q=1.58,38.632314
0,Q=1.58,37.776585
0.1,Q=1.58,36.957944
0.2,Q=1.58,36.174031
0.3,Q=1.58,35.422683
0.4,Q=1.58,34.701911
0.5,Q=1.58,34.009886
0.6,Q=1.58,33.344923
0.7,Q=1.58,32.705463
0.8,Q=1.58,32.090068
0.9,Q=1.58,31.497405
1,Q=1.58,30.926235
1.1,Q=1.58,30.375412
1.2,Q=1.58,29.843867
1.3,Q=1.58,29.330605
1.4,Q=1.58,28.834699
1.5,Q=1.58,28.355283
1.6,Q=1.58,27.891548
1.7,Q=1.58,27.442738
1.8,Q=1.58,27.008143
1.9,Q=1.58,26.587097
2,Q=1.58,26.178979
2.1,Q=1.58,25.783200
2.2,Q=1.58,25.399210
2.3,Q=1.58,25.026489
2.4,Q=1.58,24.664550
2.5,Q=1.58,24.312930
2.6,Q=1.58,23.971195
2.7,Q=1.58,23.638933
2.8,Q=1.58,23.315756
2.9,Q=1.58,23.001296
3,Q=1.58,22.695206
3.1,Q=1.58,22.397156
3.2,Q=1.58,22.106832
3.3,Q=1.58,21.823939
3.4,Q=1.58,21.548194
3.5,Q=1.58,21.279331
-3.5,Q=1.85,96.517707
-3.4,Q=1.85,91.347966
-3.3,Q=1.85,86.703878
-3.2,Q=1.85,82.509152
-3.1,Q=1.85,78.701577
-3,Q=1.85,75.229918
-2.9,Q=1.85,72.051601
-2.8,Q=1.85,69.130954
-2.7,Q=1.85,66.437862
-2.6,Q=1.85,63.946729
-2.5,Q=1.85,61.635658
-2.4,Q=1.85,59.485807
-2.3,Q=1.85,57.480874
-2.2,Q=1.85,55.606686
-2.1,Q=1.85,53.850855
-2,Q=1.85,52.202514
-1.9,Q=1.85,50.652086
-1.8,Q=1.85,49.191097
-1.7,Q=1.85,47.812026
-1.6,Q=1.85,46.508171
-1.5,Q=1.85,45.273542
-1.4,Q=1.85,44.102767
-1.3,Q=1.85,42.991019
-1.2,Q=1.85,41.933942
-1.1,Q=1.85,40.927602
-1,Q=1.85,39.968430
-0.9,Q=1.85,39.053187
-0.8,Q=1.85,38.178922
-0.7,Q=1.85,37.342943
-0.6,Q=1.85,36.542790
-0.5,Q=1.85,35.776207
-0.4,Q=1.85,35.041126
-0.3,Q=1.85,34.335644
-0.2,Q=1.85,33.658007
-0.1,Q=1.85,33.006601
0,Q=1.85,32.379930
0.1,Q=1.85,31.776611
0.2,Q=1.85,31.195365
0.3,Q=1.85,30.635000
0.4,Q=1.85,30.094411
0.5,Q=1.85,29.572571
0.6,Q=1.85,29.068519
0.7,Q=1.85,28.581362
0.8,Q=1.85,28.110265
0.9,Q=1.85,27.654445
1,Q=1.85,27.213173
1.1,Q=1.85,26.785761
1.2,Q=1.85,26.371568
1.3,Q=1.85,25.969989
1.4,Q=1.85,25.580457
1.5,Q=1.85,25.202438
1.6,Q=1.85,24.835429
1.7,Q=1.85,24.478955
1.8,Q=1.85,24.132570
1.9,Q=1.85,23.795851
2,Q=1.85,23.468399
2.1,Q=1.85,23.149836
2.2,Q=1.85,22.839807
2.3,Q=1.85,22.537971
2.4,Q=1.85,22.244010
2.5,Q=1.85,21.957617
2.6,Q=1.85,21.678506
2.7,Q=1.85,21.406401
2.8,Q=1.85,21.141043
2.9,Q=1.85,20.882183
3,Q=1.85,20.629585
3.1,Q=1.85,20.383025
3.2,Q=1.85,20.142290
3.3,Q=1.85,19.907174
3.4,Q=1.85,19.677484
3.5,Q=1.85,19.453034
-3.5,Q=2.11,67.692445
-3.4,Q=2.11,65.108171
-3.3,Q=2.11,62.713958
-3.2,Q=2.11,60.489585
-3.1,Q=2.11,58.417597
-3,Q=2.11,56.482854
-2.9,Q=2.11,54.672157
-2.8,Q=2.11,52.973946
-2.7,Q=2.11,51.378056
-2.6,Q=2.11,49.875509
-2.5,Q=2.11,48.458349
-2.4,Q=2.11,47.119498
-2.3,Q=2.11,45.852640
-2.2,Q=2.11,44.652120
-2.1,Q=2.11,43.512861
-2,Q=2.11,42.430289
-1.9,Q=2.11,41.400277
-1.8,Q=2.11,40.419088
-1.7,Q=2.11,39.483331
-1.6,Q=2.11,38.589921
-1.5,Q=2.11,37.736048
-1.4,Q=2.11,36.919144
-1.3,Q=2.11,36.136859
-1.2,Q=2.11,35.387038
-1.1,Q=2.11,34.667702
-1,Q=2.11,33.977027
-0.9,Q=2.11,33.313335
-0.8,Q=2.11,32.675075
-0.7,Q=2.11,32.060813
-0.6,Q=2.11,31.469219
-0.5,Q=2.11,30.899062
-0.4,Q=2.11,30.349198
-0.3,Q=2.11,29.818562
-0.2,Q=2.11,29.306162
-0.1,Q=2.11,28.811076
0,Q=2.11,28.332438
0.1,Q=2.11,27.869445
0.2,Q=2.11,27.421339
0.3,Q=2.11,26.987416
0.4,Q=2.11,26.567012
0.5,Q=2.11,26.159505
0.6,Q=2.11,25.764310
0.7,Q=2.11,25.380879
0.8,Q=2.11,25.008692
0.9,Q=2.11,24.647263
1,Q=2.11,24.296133
1.1,Q=2.11,23.954866
1.2,Q=2.11,23.623053
1.3,Q=2.11,23.300308
1.4,Q=2.11,22.986262
1.5,Q=2.11,22.680569
1.6,Q=2.11,22.382900
1.7,Q=2.11,22.092944
1.8,Q=2.11,21.810404
1.9,Q=2.11,21.534999
2,Q=2.11,21.266462
2.1,Q=2.11,21.004541
2.2,Q=2.11,20.748992
2.3,Q=2.11,20.499587
2.4,Q=2.11,20.256107
2.5,Q=2.11,20.018342
2.6,Q=2.11,19.786095
2.7,Q=2.11,19.559174
2.8,Q=2.11,19.337400
2.9,Q=2.11,19.120598
3,Q=2.11,18.908604
3.1,Q=2.11,18.701259
3.2,Q=2.11,18.498412
3.3,Q=2.11,18.299919
3.4,Q=2.11,18.105640
3.5,Q=2.11,17.915442
